City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,portland,45.5234,-122.6762,279.77,93,100,3.58,US,1674088824
307,zalaszentgrot,46.9447,17.0792,277.13,97,100,8.72,HU,1674088905
308,fairview,40.8126,-73.999,282.72,60,0,6.69,US,1674088741
309,sur,22.5667,59.5289,294.61,75,83,6.1,OM,1674088907
310,osakarovka,50.565,72.5692,254.17,63,1,0.15,KZ,1674088908
311,tual,-5.6667,132.75,301.53,75,100,8.44,ID,1674088908
312,shingu,33.7333,135.9833,281.87,48,0,0.91,JP,1674088741
313,broome,42.2506,-75.833,277.51,88,100,3.6,US,1674088910
314,lasa,46.6166,10.7002,272.64,92,100,3.06,IT,1674088911
315,broken hill,-31.95,141.4333,292.55,31,0,9.09,AU,1674088912
316,yumen,40.2833,97.2,258.79,74,2,5.23,CN,1674088914
317,porto novo,6.4965,2.6036,301.05,81,44,2.77,BJ,1674088915
318,vidim,56.4088,103.1106,228.98,100,73,1.41,RU,1674088915
319,umtata,-31.5889,28.7844,293.19,82,73,1.54,ZA,1674088720
320,odweyne,9.4092,45.064,290.6,33,65,4.19,SO,1674088917
321,lafia,8.4833,8.5167,297.64,23,6,1.74,NG,1674088918
322,xining,36.6167,101.7667,256.61,73,1,1.17,CN,1674088919
323,nemuro,43.3236,145.575,267.35,63,81,4.33,JP,1674088920
324,monreal,12.644,123.6648,298.5,88,100,5.83,PH,1674088921
325,rio de janeiro,-22.9028,-43.2075,300.15,78,20,3.09,BR,1674088623
326,dawson,31.7735,-84.4466,293.83,79,100,5.61,US,1674088922
327,lulea,65.5842,22.1547,273.19,100,100,7.2,SE,1674088923
328,vostok,46.4856,135.8833,258.02,77,100,1.56,RU,1674088924
329,high level,58.5169,-117.136,265.21,100,40,0.0,CA,1674088925
330,krasnoselkup,65.7,82.4667,248.08,96,91,4.7,RU,1674088926
331,mangla,31.8931,72.3817,280.67,27,20,1.86,PK,1674088927
332,iracoubo,5.4802,-53.2011,296.79,88,53,3.49,GF,1674088928
333,monticello,45.3055,-93.7941,273.63,86,100,6.69,US,1674088750
334,akdepe,42.0551,59.3788,262.2,54,53,3.59,TM,1674088930
335,hefei,31.8639,117.2808,273.16,74,0,2.0,CN,1674088706
336,la romana,18.4273,-68.9728,295.35,88,20,0.0,DO,1674088868
337,komsomolskiy,40.4272,71.7189,266.55,73,97,4.12,UZ,1674088932
338,faanui,-16.4833,-151.75,300.23,72,7,6.3,PF,1674088933
339,kambove,-10.8764,26.5969,288.27,97,100,0.7,CD,1674088934
340,verkhnevilyuysk,63.4453,120.3167,216.89,100,73,1.35,RU,1674088935
341,kailua,21.4022,-157.7394,301.17,60,87,0.89,US,1674088936
342,senanga,-16.1167,23.2667,292.87,94,100,2.14,ZM,1674088937
343,manokwari,-0.8667,134.0833,300.01,72,100,1.87,ID,1674088938
344,half moon bay,37.4636,-122.4286,287.04,76,75,7.72,US,1674088939
345,marienburg,54.0359,19.0266,275.95,85,100,2.62,PL,1674088940
346,caohe,30.2297,115.4335,278.68,46,6,0.89,CN,1674088941
347,bosobolo,4.1833,19.9,295.63,39,97,0.44,CD,1674088942
348,mwinilunga,-11.7358,24.4293,288.67,97,99,1.54,ZM,1674088943
349,honningsvag,70.9821,25.9704,271.01,74,100,8.23,NO,1674088944
350,voh,-20.9667,164.7,301.8,56,9,4.67,NC,1674088945
351,kungurtug,50.5994,97.5228,243.34,96,96,0.93,RU,1674088946
352,bahia blanca,-38.7196,-62.2724,294.44,92,0,3.6,AR,1674088776
353,sao jose de piranhas,-7.1206,-38.5019,296.84,69,67,1.0,BR,1674088948
354,outjo,-20.1167,16.15,293.63,80,100,2.96,NA,1674088948
355,ambon,-3.6954,128.1814,303.23,70,20,3.09,ID,1674088949
356,waddan,29.1614,16.139,286.29,26,0,3.69,LY,1674088950
357,sorong,-0.8833,131.25,301.04,74,100,4.79,ID,1674088951
358,emborion,40.4833,21.55,282.35,82,4,3.3,GR,1674088952
359,alofi,-19.0595,-169.9187,302.09,84,40,4.63,NU,1674088953
360,rantepao,-2.9701,119.8978,297.67,77,95,0.56,ID,1674088954
361,ransang,8.9603,117.5828,300.24,79,100,1.68,PH,1674088955
362,jackson,42.4165,-122.8345,277.25,92,100,2.57,US,1674088956
363,sudak,44.85,34.9667,283.37,70,69,1.66,UA,1674088957
364,mandalgovi,45.7625,106.2708,250.44,75,1,5.03,MN,1674088958
365,massakory,12.996,15.7293,294.04,23,0,3.85,TD,1674088959
366,zhangye,38.9342,100.4517,258.79,70,21,2.08,CN,1674088961
367,marsh harbour,26.5412,-77.0636,295.87,65,99,3.91,BS,1674088962
368,kaeo,-35.1,173.7833,294.44,70,66,2.96,NZ,1674088962
